river_level,rainfall_rate,hour_of_day,month
3.18,0.07,9,12
3.18,0.08,10,12
3.18,0.08,11,12
3.18,0.09,12,12
3.18,0.1,13,12
3.18,0.24,14,12
3.18,0.28,15,12
3.18,0.21,16,12
3.18,0.14,17,12
3.18,0.1,18,12
3.18,0.08,19,12
3.18,0.07,20,12
3.18,0.06,21,12
3.18,0.04,22,12
3.18,0.03,23,12
2.02,0.12,0,12
2.02,0.12,1,12
2.02,0.12,2,12
2.02,0.12,3,12
2.02,0.12,4,12
2.02,0.19,5,12
2.02,0.31,6,12
2.02,0.44,7,12
2.02,0.56,8,12
2.02,0.62,9,12
2.02,0.68,10,12
2.02,0.75,11,12
2.02,0.81,12,12
2.02,0.93,13,12
2.02,2.18,14,12
2.02,2.49,15,12
2.02,1.87,16,12
2.02,1.24,17,12
2.02,0.93,18,12
2.02,0.75,19,12
2.02,0.62,20,12
2.02,0.5,21,12
2.02,0.37,22,12
2.02,0.25,23,12
2.11,0.1,0,12
2.11,0.1,1,12
2.11,0.1,2,12
2.11,0.1,3,12
2.11,0.1,4,12
2.11,0.15,5,12
2.11,0.24,6,12
2.11,0.34,7,12
2.11,0.44,8,12
2.11,0.49,9,12
2.11,0.54,10,12
2.11,0.58,11,12
2.11,0.63,12,12
2.11,0.73,13,12
2.11,1.71,14,12
2.11,1.95,15,12
2.11,1.46,16,12
2.11,0.97,17,12
2.11,0.73,18,12
2.11,0.58,19,12
2.11,0.49,20,12
2.11,0.39,21,12
2.11,0.29,22,12
2.11,0.19,23,12
3.22,0.11,0,12
3.22,0.11,1,12
3.22,0.11,2,12
3.22,0.11,3,12
3.22,0.11,4,12
3.22,0.16,5,12
3.22,0.26,6,12
3.22,0.37,7,12
3.22,0.47,8,12
3.22,0.53,9,12
3.22,0.58,10,12
3.22,0.63,11,12
3.22,0.69,12,12
3.22,0.79,13,12
3.22,1.85,14,12
3.22,2.11,15,12
3.22,1.58,16,12
3.22,1.05,17,12
3.22,0.79,18,12
3.22,0.63,19,12
3.22,0.53,20,12
3.22,0.42,21,12
3.22,0.32,22,12
3.22,0.21,23,12
3.11,0.04,0,12
3.11,0.04,1,12
3.11,0.04,2,12
3.11,0.04,3,12
3.11,0.04,4,12
3.11,0.07,5,12
3.11,0.11,6,12
3.11,0.16,7,12
3.11,0.2,8,12
3.11,0.22,9,12
3.11,0.24,10,12
3.11,0.27,11,12
3.11,0.29,12,12
3.11,0.33,13,12
3.11,0.78,14,12
3.11,0.89,15,12
3.11,0.67,16,12
3.11,0.44,17,12
3.11,0.33,18,12
3.11,0.27,19,12
3.11,0.22,20,12
3.11,0.18,21,12
3.11,0.13,22,12
3.11,0.09,23,12
2.08,0.07,0,12
2.08,0.07,1,12
2.08,0.07,2,12
2.08,0.07,3,12
2.08,0.07,4,12
2.08,0.1,5,12
2.08,0.17,6,12
2.08,0.24,7,12
2.08,0.31,8,12
2.08,0.35,9,12
2.08,0.38,10,12
2.08,0.41,11,12
2.08,0.45,12,12
2.08,0.52,13,12
2.08,1.21,14,12
2.08,1.38,15,12
2.08,1.04,16,12
2.08,0.69,17,12
2.08,0.52,18,12
2.08,0.41,19,12
2.08,0.35,20,12
2.08,0.28,21,12
2.08,0.21,22,12
2.08,0.14,23,12
2.11,0.01,0,12
2.11,0.01,1,12
2.11,0.01,2,12
2.11,0.01,3,12
2.11,0.01,4,12
2.11,0.01,5,12
2.11,0.02,6,12
2.11,0.03,7,12
2.11,0.03,8,12
2.11,0.04,9,12
2.11,0.04,10,12
2.11,0.04,11,12
2.11,0.05,12,12
2.11,0.05,13,12
2.11,0.13,14,12
2.11,0.15,15,12
2.11,0.11,16,12
2.11,0.07,17,12
2.11,0.05,18,12
2.11,0.04,19,12
2.11,0.04,20,12
2.11,0.03,21,12
2.11,0.02,22,12
2.11,0.01,23,12
2.02,0.12,0,12
2.02,0.12,1,12
2.02,0.12,2,12
2.02,0.12,3,12
2.02,0.12,4,12
2.02,0.18,5,12
2.02,0.29,6,12
2.02,0.41,7,12
2.02,0.53,8,12
2.02,0.59,9,12
2.02,0.64,10,12
2.02,0.7,11,12
2.02,0.76,12,12
2.02,0.88,13,12
2.02,2.05,14,12
2.02,2.34,15,12
2.02,1.76,16,12
2.02,1.17,17,12
2.02,0.88,18,12
2.02,0.7,19,12
2.02,0.59,20,12
2.02,0.47,21,12
2.02,0.35,22,12
2.02,0.23,23,12
3.06,0.13,0,12
3.06,0.13,1,12
3.06,0.13,2,12
3.06,0.13,3,12
3.06,0.13,4,12
3.06,0.19,5,12
3.06,0.31,6,12
3.06,0.44,7,12
3.06,0.57,8,12
3.06,0.63,9,12
3.06,0.69,10,12
3.06,0.75,11,12
3.06,0.82,12,12
3.06,0.94,13,12
3.06,2.2,14,12
3.06,2.52,15,12
3.06,1.89,16,12
3.06,1.26,17,12
3.06,0.94,18,12
3.06,0.75,19,12
3.06,0.63,20,12
3.06,0.5,21,12
3.06,0.38,22,12
3.06,0.25,23,12
3.3,0.1,0,12
3.3,0.1,1,12
3.3,0.1,2,12
3.3,0.1,3,12
3.3,0.1,4,12
3.3,0.15,5,12
3.3,0.24,6,12
3.3,0.34,7,12
3.3,0.44,8,12
3.3,0.49,9,12
3.3,0.54,10,12
3.3,0.58,11,12
3.3,0.63,12,12
3.3,0.73,13,12
3.3,1.71,14,12
3.3,1.95,15,12
3.3,1.46,16,12
3.3,0.97,17,12
3.3,0.73,18,12
3.3,0.58,19,12
3.3,0.49,20,12
3.3,0.39,21,12
3.3,0.29,22,12
3.3,0.19,23,12
3.32,0.21,0,12
3.32,0.21,1,12
3.32,0.21,2,12
3.32,0.21,3,12
3.32,0.21,4,12
3.32,0.31,5,12
3.32,0.52,6,12
3.32,0.73,7,12
3.32,0.94,8,12
3.32,1.04,9,12
3.32,1.14,10,12
3.32,1.25,11,12
3.32,1.35,12,12
3.32,1.56,13,12
3.32,3.64,14,12
3.32,4.16,15,12
3.32,3.12,16,12
3.32,2.08,17,12
3.32,1.56,18,12
3.32,1.25,19,12
3.32,1.04,20,12
3.32,0.83,21,12
3.32,0.62,22,12
3.32,0.42,23,12
3.89,0.07,0,12
3.89,0.07,1,12
3.89,0.07,2,12
3.89,0.07,3,12
3.89,0.07,4,12
3.89,0.1,5,12
3.89,0.17,6,12
3.89,0.24,7,12
3.89,0.3,8,12
3.89,0.34,9,12
3.89,0.37,10,12
3.89,0.41,11,12
3.89,0.44,12,12
3.89,0.51,13,12
3.89,1.18,14,12
3.89,1.35,15,12
3.89,1.01,16,12
3.89,0.68,17,12
3.89,0.51,18,12
3.89,0.41,19,12
3.89,0.34,20,12
3.89,0.27,21,12
3.89,0.2,22,12
3.89,0.14,23,12
3.42,0.1,0,12
3.42,0.1,1,12
3.42,0.1,2,12
3.42,0.1,3,12
3.42,0.1,4,12
3.42,0.15,5,12
3.42,0.25,6,12
3.42,0.34,7,12
3.42,0.44,8,12
3.42,0.49,9,12
3.42,0.54,10,12
3.42,0.59,11,12
3.42,0.64,12,12
3.42,0.74,13,12
3.42,1.72,14,12
3.42,1.96,15,12
3.42,1.47,16,12
3.42,0.98,17,12
3.42,0.74,18,12
3.42,0.59,19,12
3.42,0.49,20,12
3.42,0.39,21,12
3.42,0.29,22,12
3.42,0.2,23,12
3.23,0.11,0,12
3.23,0.11,1,12
3.23,0.11,2,12
3.23,0.11,3,12
3.23,0.11,4,12
3.23,0.17,5,12
3.23,0.28,6,12
3.23,0.39,7,12
3.23,0.5,8,12
3.23,0.56,9,12
3.23,0.62,10,12
3.23,0.67,11,12
3.23,0.73,12,12
3.23,0.84,13,12
3.23,1.96,14,12
3.23,2.24,15,12
3.23,1.68,16,12
3.23,1.12,17,12
3.23,0.84,18,12
3.23,0.67,19,12
3.23,0.56,20,12
3.23,0.45,21,12
3.23,0.34,22,12
3.23,0.22,23,12
3.3,0.14,0,12
3.3,0.14,1,12
3.3,0.14,2,12
3.3,0.14,3,12
3.3,0.14,4,12
3.3,0.21,5,12
3.3,0.35,6,12
3.3,0.49,7,12
3.3,0.63,8,12
3.3,0.7,9,12
3.3,0.77,10,12
3.3,0.84,11,12
3.3,0.91,12,12
3.3,1.05,13,12
3.3,2.46,14,12
3.3,2.81,15,12
3.3,2.11,16,12
3.3,1.4,17,12
3.3,1.05,18,12
3.3,0.84,19,12
3.3,0.7,20,12
3.3,0.56,21,12
3.3,0.42,22,12
3.3,0.28,23,12
3.38,0.14,0,12
3.38,0.14,1,12
3.38,0.14,2,12
3.38,0.14,3,12
3.38,0.14,4,12
3.38,0.21,5,12
3.38,0.35,6,12
3.38,0.49,7,12
3.38,0.63,8,12
3.38,0.7,9,12
3.38,0.77,10,12
3.38,0.84,11,12
3.38,0.91,12,12
3.38,1.05,13,12
3.38,2.44,14,12
3.38,2.79,15,12
3.38,2.09,16,12
3.38,1.4,17,12
3.38,1.05,18,12
3.38,0.84,19,12
3.38,0.7,20,12
3.38,0.56,21,12
3.38,0.42,22,12
3.38,0.28,23,12
3.27,0.17,0,12
3.27,0.17,1,12
3.27,0.17,2,12
3.27,0.17,3,12
3.27,0.17,4,12
3.27,0.26,5,12
3.27,0.43,6,12
3.27,0.6,7,12
3.27,0.77,8,12
3.27,0.86,9,12
3.27,0.94,10,12
3.27,1.03,11,12
3.27,1.12,12,12
3.27,1.29,13,12
3.27,3.0,14,12
3.27,3.43,15,12
3.27,2.57,16,12
3.27,1.72,17,12
3.27,1.29,18,12
3.27,1.03,19,12
3.27,0.86,20,12
3.27,0.69,21,12
3.27,0.51,22,12
3.27,0.34,23,12
3.15,0.18,0,12
3.15,0.18,1,12
3.15,0.18,2,12
3.15,0.18,3,12
3.15,0.18,4,12
3.15,0.27,5,12
3.15,0.45,6,12
3.15,0.63,7,12
3.15,0.81,8,12
3.15,0.9,9,12
3.15,0.99,10,12
3.15,1.08,11,12
3.15,1.17,12,12
3.15,1.35,13,12
3.15,3.16,14,12
3.15,3.61,15,12
3.15,2.71,16,12
3.15,1.8,17,12
3.15,1.35,18,12
3.15,1.08,19,12
3.15,0.9,20,12
3.15,0.72,21,12
3.15,0.54,22,12
3.15,0.36,23,12
3.4,0.01,0,12
3.4,0.01,1,12
3.4,0.01,2,12
3.4,0.01,3,12
3.4,0.01,4,12
3.4,0.02,5,12
3.4,0.03,6,12
3.4,0.04,7,12
3.4,0.05,8,12
3.4,0.05,9,12
3.4,0.06,10,12
3.4,0.06,11,12
3.4,0.07,12,12
3.4,0.08,13,12
3.4,0.18,14,12
3.4,0.2,15,12
3.4,0.15,16,12
3.4,0.1,17,12
3.4,0.08,18,12
3.4,0.06,19,12
3.4,0.05,20,12
3.4,0.04,21,12
3.4,0.03,22,12
3.4,0.02,23,12
3.05,0.08,0,12
3.05,0.08,1,12
3.05,0.08,2,12
3.05,0.08,3,12
3.05,0.08,4,12
3.05,0.12,5,12
3.05,0.2,6,12
3.05,0.29,7,12
3.05,0.37,8,12
3.05,0.41,9,12
3.05,0.45,10,12
3.05,0.49,11,12
3.05,0.53,12,12
3.05,0.61,13,12
3.05,1.43,14,12
3.05,1.63,15,12
3.05,1.22,16,12
3.05,0.81,17,12
3.05,0.61,18,12
3.05,0.49,19,12
3.05,0.41,20,12
3.05,0.33,21,12
3.05,0.24,22,12
3.05,0.16,23,12
3.44,0.15,0,12
3.44,0.15,1,12
3.44,0.15,2,12
3.44,0.15,3,12
3.44,0.15,4,12
3.44,0.22,5,12
3.44,0.37,6,12
3.44,0.52,7,12
3.44,0.67,8,12
3.44,0.75,9,12
3.44,0.82,10,12
3.44,0.9,11,12
3.44,0.97,12,12
3.44,1.12,13,12
3.44,2.62,14,12
3.44,3.0,15,12
3.44,2.25,16,12
3.44,1.5,17,12
3.44,1.12,18,12
3.44,0.9,19,12
3.44,0.75,20,12
3.44,0.6,21,12
3.44,0.45,22,12
3.44,0.3,23,12
3.42,0.07,0,12
3.42,0.07,1,12
3.42,0.07,2,12
3.42,0.07,3,12
3.42,0.07,4,12
3.42,0.11,5,12
3.42,0.18,6,12
3.42,0.25,7,12
3.42,0.32,8,12
3.42,0.35,9,12
3.42,0.39,10,12
3.42,0.42,11,12
3.42,0.46,12,12
3.42,0.53,13,12
3.42,1.23,14,12
3.42,1.41,15,12
3.42,1.06,16,12
3.42,0.71,17,12
3.42,0.53,18,12
3.42,0.42,19,12
3.42,0.35,20,12
3.42,0.28,21,12
3.42,0.21,22,12
3.42,0.14,23,12
3.19,0.08,0,12
3.19,0.08,1,12
3.19,0.08,2,12
3.19,0.08,3,12
3.19,0.08,4,12
3.19,0.12,5,12
3.19,0.2,6,12
3.19,0.27,7,12
3.19,0.35,8,12
3.19,0.39,9,12
3.19,0.43,10,12
3.19,0.47,11,12
3.19,0.51,12,12
3.19,0.59,13,12
3.19,1.37,14,12
3.19,1.57,15,12
3.19,1.18,16,12
3.19,0.79,17,12
3.19,0.59,18,12
3.19,0.47,19,12
3.19,0.39,20,12
3.19,0.31,21,12
3.19,0.24,22,12
3.19,0.16,23,12
3.16,0.09,0,12
3.16,0.09,1,12
3.16,0.09,2,12
3.16,0.09,3,12
3.16,0.09,4,12
3.16,0.14,5,12
3.16,0.23,6,12
3.16,0.32,7,12
3.16,0.42,8,12
3.16,0.46,9,12
3.16,0.51,10,12
3.16,0.55,11,12
3.16,0.6,12,12
3.16,0.69,13,12
3.16,1.62,14,12
3.16,1.85,15,12
3.16,1.39,16,12
3.16,0.92,17,12
3.16,0.69,18,12
3.16,0.55,19,12
3.16,0.46,20,12
3.16,0.37,21,12
3.16,0.28,22,12
3.16,0.18,23,12
3.16,0.08,0,12
3.16,0.08,1,12
3.16,0.08,2,12
3.16,0.08,3,12
3.16,0.08,4,12
3.16,0.11,5,12
3.16,0.19,6,12
3.16,0.27,7,12
3.16,0.34,8,12
3.16,0.38,9,12
3.16,0.42,10,12
3.16,0.46,11,12
3.16,0.5,12,12
3.16,0.57,13,12
3.16,1.34,14,12
3.16,1.53,15,12
3.16,1.15,16,12
3.16,0.76,17,12
3.16,0.57,18,12
3.16,0.46,19,12
3.16,0.38,20,12
3.16,0.31,21,12
3.16,0.23,22,12
3.16,0.15,23,12
2.1,0.11,0,12
2.1,0.11,1,12
2.1,0.11,2,12
2.1,0.11,3,12
2.1,0.11,4,12
2.1,0.17,5,12
2.1,0.28,6,12
2.1,0.4,7,12
2.1,0.51,8,12
2.1,0.57,9,12
2.1,0.62,10,12
2.1,0.68,11,12
2.1,0.74,12,12
2.1,0.85,13,12
2.1,1.99,14,12
2.1,2.27,15,12
2.1,1.7,16,12
2.1,1.13,17,12
2.1,0.85,18,12
2.1,0.68,19,12
2.1,0.57,20,12
2.1,0.45,21,12
2.1,0.34,22,12
2.1,0.23,23,12
3.03,0.16,0,12
3.03,0.16,1,12
3.03,0.16,2,12
3.03,0.16,3,12
3.03,0.16,4,12
3.03,0.24,5,12
3.03,0.4,6,12
3.03,0.57,7,12
3.03,0.73,8,12
3.03,0.81,9,12
3.03,0.89,10,12
3.03,0.97,11,12
3.03,1.05,12,12
3.03,1.21,13,12
3.03,2.83,14,12
3.03,3.23,15,12
3.03,2.42,16,12
3.03,1.61,17,12
3.03,1.21,18,12
3.03,0.97,19,12
3.03,0.81,20,12
3.03,0.65,21,12
3.03,0.48,22,12
3.03,0.32,23,12
3.41,0.17,0,12
3.41,0.17,1,12
3.41,0.17,2,12
3.41,0.17,3,12
3.41,0.17,4,12
3.41,0.26,5,12
3.41,0.43,6,12
3.41,0.61,7,12
3.41,0.78,8,12
3.41,0.87,9,12
3.41,0.95,10,12
3.41,1.04,11,12
3.41,1.13,12,12
3.41,1.3,13,12
3.41,3.03,14,12
3.41,3.46,15,12
3.41,2.6,16,12
3.41,1.73,17,12
3.41,1.3,18,12
3.41,1.04,19,12
3.41,0.87,20,12
3.41,0.69,21,12
3.41,0.52,22,12
3.41,0.35,23,12
3.9,0.16,0,1
3.9,0.16,1,1
3.9,0.16,2,1
3.9,0.16,3,1
3.9,0.16,4,1
3.9,0.24,5,1
3.9,0.4,6,1
3.9,0.57,7,1
3.9,0.73,8,1
3.9,0.81,9,1
3.9,0.89,10,1
3.9,0.97,11,1
3.9,1.05,12,1
3.9,1.21,13,1
3.9,2.83,14,1
3.9,3.23,15,1
3.9,2.42,16,1
3.9,1.61,17,1
3.9,1.21,18,1
3.9,0.97,19,1
3.9,0.81,20,1
3.9,0.65,21,1
3.9,0.48,22,1
3.9,0.32,23,1
3.4,0.13,0,1
3.4,0.13,1,1
3.4,0.13,2,1
3.4,0.13,3,1
3.4,0.13,4,1
3.4,0.19,5,1
3.4,0.32,6,1
3.4,0.45,7,1
3.4,0.57,8,1
3.4,0.64,9,1
3.4,0.7,10,1
3.4,0.76,11,1
3.4,0.83,12,1
3.4,0.95,13,1
3.4,2.23,14,1
3.4,2.55,15,1
3.4,1.91,16,1
3.4,1.27,17,1
3.4,0.95,18,1
3.4,0.76,19,1
3.4,0.64,20,1
3.4,0.51,21,1
3.4,0.38,22,1
3.4,0.25,23,1
3.35,0.11,0,1
3.35,0.11,1,1
3.35,0.11,2,1
3.35,0.11,3,1
3.35,0.11,4,1
3.35,0.17,5,1
3.35,0.28,6,1
3.35,0.4,7,1
3.35,0.51,8,1
3.35,0.57,9,1
3.35,0.62,10,1
3.35,0.68,11,1
3.35,0.74,12,1
3.35,0.85,13,1
3.35,1.99,14,1
3.35,2.27,15,1
3.35,1.7,16,1
3.35,1.13,17,1
3.35,0.85,18,1
3.35,0.68,19,1
3.35,0.57,20,1
3.35,0.45,21,1
3.35,0.34,22,1
3.35,0.23,23,1
3.54,0.1,0,1
3.54,0.1,1,1
3.54,0.1,2,1
3.54,0.1,3,1
3.54,0.1,4,1
3.54,0.15,5,1
3.54,0.25,6,1
3.54,0.35,7,1
3.54,0.45,8,1
3.54,0.49,9,1
3.54,0.54,10,1
3.54,0.59,11,1
3.54,0.64,12,1
3.54,0.74,13,1
3.54,1.73,14,1
3.54,1.98,15,1
3.54,1.48,16,1
3.54,0.99,17,1
3.54,0.74,18,1
3.54,0.59,19,1
3.54,0.49,20,1
3.54,0.4,21,1
3.54,0.3,22,1
3.54,0.2,23,1
3.18,0.08,0,1
3.18,0.08,1,1
3.18,0.08,2,1
3.18,0.08,3,1
3.18,0.08,4,1
3.18,0.12,5,1
3.18,0.2,6,1
3.18,0.27,7,1
3.18,0.35,8,1
3.18,0.39,9,1
3.18,0.43,10,1
3.18,0.47,11,1
3.18,0.51,12,1
3.18,0.59,13,1
3.18,1.37,14,1
3.18,1.57,15,1
3.18,1.18,16,1
3.18,0.79,17,1
3.18,0.59,18,1
3.18,0.47,19,1
3.18,0.39,20,1
3.18,0.31,21,1
3.18,0.24,22,1
3.18,0.16,23,1
2.1,0.34,0,1
2.1,0.34,1,1
2.1,0.34,2,1
2.1,0.34,3,1
2.1,0.34,4,1
2.1,0.5,5,1
2.1,0.84,6,1
2.1,1.18,7,1
2.1,1.51,8,1
2.1,1.68,9,1
2.1,1.85,10,1
2.1,2.02,11,1
2.1,2.18,12,1
2.1,2.52,13,1
2.1,5.88,14,1
2.1,6.72,15,1
2.1,5.04,16,1
2.1,3.36,17,1
2.1,2.52,18,1
2.1,2.02,19,1
2.1,1.68,20,1
2.1,1.34,21,1
2.1,1.01,22,1
2.1,0.67,23,1
3.36,0.4,0,1
3.36,0.4,1,1
3.36,0.4,2,1
3.36,0.4,3,1
3.36,0.4,4,1
3.36,0.6,5,1
3.36,1.0,6,1
3.36,1.39,7,1
3.36,1.79,8,1
3.36,1.99,9,1
3.36,2.19,10,1
3.36,2.39,11,1
3.36,2.59,12,1
3.36,2.99,13,1
3.36,6.97,14,1
3.36,7.97,15,1
3.36,5.98,16,1
3.36,3.99,17,1
3.36,2.99,18,1
3.36,2.39,19,1
3.36,1.99,20,1
3.36,1.59,21,1
3.36,1.2,22,1
3.36,0.8,23,1
4.68,0.05,0,1
4.68,0.05,1,1
4.68,0.05,2,1
4.68,0.05,3,1
4.68,0.05,4,1
4.68,0.08,5,1
4.68,0.13,6,1
4.68,0.18,7,1
4.68,0.24,8,1
4.68,0.26,9,1
4.68,0.29,10,1
4.68,0.31,11,1
4.68,0.34,12,1
4.68,0.39,13,1
4.68,0.92,14,1
4.68,1.05,15,1
4.68,0.79,16,1
4.68,0.52,17,1
4.68,0.39,18,1
4.68,0.31,19,1
4.68,0.26,20,1
4.68,0.21,21,1
4.68,0.16,22,1
4.68,0.1,23,1
4.02,0.29,0,1
4.02,0.29,1,1
4.02,0.29,2,1
4.02,0.29,3,1
4.02,0.29,4,1
4.02,0.44,5,1
4.02,0.73,6,1
4.02,1.02,7,1
4.02,1.31,8,1
4.02,1.45,9,1
4.02,1.6,10,1
4.02,1.75,11,1
4.02,1.89,12,1
4.02,2.18,13,1
4.02,5.09,14,1
4.02,5.82,15,1
4.02,4.36,16,1
4.02,2.91,17,1
4.02,2.18,18,1
4.02,1.75,19,1
4.02,1.45,20,1
4.02,1.16,21,1
4.02,0.87,22,1
4.02,0.58,23,1
4.85,0.09,0,1
4.85,0.09,1,1
4.85,0.09,2,1
4.85,0.09,3,1
4.85,0.09,4,1
4.85,0.14,5,1
4.85,0.24,6,1
4.85,0.33,7,1
4.85,0.43,8,1
4.85,0.47,9,1
4.85,0.52,10,1
4.85,0.57,11,1
4.85,0.61,12,1
4.85,0.71,13,1
4.85,1.65,14,1
4.85,1.89,15,1
4.85,1.42,16,1
4.85,0.95,17,1
4.85,0.71,18,1
4.85,0.57,19,1
4.85,0.47,20,1
4.85,0.38,21,1
4.85,0.28,22,1
4.85,0.19,23,1
4.12,0.02,0,1
4.12,0.02,1,1
4.12,0.02,2,1
4.12,0.02,3,1
4.12,0.02,4,1
4.12,0.03,5,1
4.12,0.06,6,1
4.12,0.08,7,1
4.12,0.1,8,1
4.12,0.11,9,1
4.12,0.12,10,1
4.12,0.14,11,1
4.12,0.15,12,1
4.12,0.17,13,1
4.12,0.39,14,1
4.12,0.45,15,1
4.12,0.34,16,1
4.12,0.23,17,1
4.12,0.17,18,1
4.12,0.14,19,1
4.12,0.11,20,1
4.12,0.09,21,1
4.12,0.07,22,1
4.12,0.05,23,1
3.08,0.13,0,1
3.08,0.13,1,1
3.08,0.13,2,1
3.08,0.13,3,1
3.08,0.13,4,1
3.08,0.2,5,1
3.08,0.33,6,1
3.08,0.46,7,1
3.08,0.6,8,1
3.08,0.66,9,1
3.08,0.73,10,1
3.08,0.79,11,1
3.08,0.86,12,1
3.08,0.99,13,1
3.08,2.32,14,1
3.08,2.65,15,1
3.08,1.99,16,1
3.08,1.32,17,1
3.08,0.99,18,1
3.08,0.79,19,1
3.08,0.66,20,1
3.08,0.53,21,1
3.08,0.4,22,1
3.08,0.26,23,1
3.29,0.11,0,1
3.29,0.11,1,1
3.29,0.11,2,1
3.29,0.11,3,1
3.29,0.11,4,1
3.29,0.16,5,1
3.29,0.27,6,1
3.29,0.38,7,1
3.29,0.48,8,1
3.29,0.54,9,1
3.29,0.59,10,1
3.29,0.65,11,1
3.29,0.7,12,1
3.29,0.81,13,1
3.29,1.88,14,1
3.29,2.15,15,1
3.29,1.61,16,1
3.29,1.08,17,1
3.29,0.81,18,1
3.29,0.65,19,1
3.29,0.54,20,1
3.29,0.43,21,1
3.29,0.32,22,1
3.29,0.22,23,1
3.18,0.02,0,1
3.18,0.02,1,1
3.18,0.02,2,1
3.18,0.02,3,1
3.18,0.02,4,1
3.18,0.03,5,1
3.18,0.04,6,1
3.18,0.06,7,1
3.18,0.08,8,1
3.18,0.09,9,1
3.18,0.1,10,1
3.18,0.1,11,1
3.18,0.11,12,1
3.18,0.13,13,1
3.18,0.31,14,1
3.18,0.35,15,1
3.18,0.26,16,1
3.18,0.17,17,1
3.18,0.13,18,1
3.18,0.1,19,1
3.18,0.09,20,1
3.18,0.07,21,1
3.18,0.05,22,1
3.18,0.03,23,1
2.09,0.12,0,1
2.09,0.12,1,1
2.09,0.12,2,1
2.09,0.12,3,1
2.09,0.12,4,1
2.09,0.18,5,1
2.09,0.31,6,1
2.09,0.43,7,1
2.09,0.55,8,1
2.09,0.61,9,1
2.09,0.67,10,1
2.09,0.73,11,1
2.09,0.79,12,1
2.09,0.92,13,1
2.09,2.14,14,1
2.09,2.44,15,1
2.09,1.83,16,1
2.09,1.22,17,1
2.09,0.92,18,1
2.09,0.73,19,1
2.09,0.61,20,1
2.09,0.49,21,1
2.09,0.37,22,1
2.09,0.24,23,1
3.12,0.06,0,1
3.12,0.06,1,1
3.12,0.06,2,1
3.12,0.06,3,1
3.12,0.06,4,1
3.12,0.09,5,1
3.12,0.15,6,1
3.12,0.21,7,1
3.12,0.27,8,1
3.12,0.3,9,1
3.12,0.33,10,1
3.12,0.36,11,1
3.12,0.39,12,1
3.12,0.45,13,1
3.12,1.04,14,1
3.12,1.19,15,1
3.12,0.89,16,1
3.12,0.6,17,1
3.12,0.45,18,1
3.12,0.36,19,1
3.12,0.3,20,1
3.12,0.24,21,1
3.12,0.18,22,1
3.12,0.12,23,1
3.07,0.1,0,1
3.07,0.1,1,1
3.07,0.1,2,1
3.07,0.1,3,1
3.07,0.1,4,1
3.07,0.15,5,1
3.07,0.24,6,1
3.07,0.34,7,1
3.07,0.44,8,1
3.07,0.49,9,1
3.07,0.54,10,1
3.07,0.58,11,1
3.07,0.63,12,1
3.07,0.73,13,1
3.07,1.71,14,1
3.07,1.95,15,1
3.07,1.46,16,1
3.07,0.97,17,1
3.07,0.73,18,1
3.07,0.58,19,1
3.07,0.49,20,1
3.07,0.39,21,1
3.07,0.29,22,1
3.07,0.19,23,1
3.12,0.14,0,1
3.12,0.14,1,1
3.12,0.14,2,1
3.12,0.14,3,1
3.12,0.14,4,1
3.12,0.21,5,1
3.12,0.34,6,1
3.12,0.48,7,1
3.12,0.62,8,1
3.12,0.69,9,1
3.12,0.76,10,1
3.12,0.82,11,1
3.12,0.89,12,1
3.12,1.03,13,1
3.12,2.41,14,1
3.12,2.75,15,1
3.12,2.06,16,1
3.12,1.37,17,1
3.12,1.03,18,1
3.12,0.82,19,1
3.12,0.69,20,1
3.12,0.55,21,1
3.12,0.41,22,1
3.12,0.27,23,1
3.44,0.15,0,1
3.44,0.15,1,1
3.44,0.15,2,1
3.44,0.15,3,1
3.44,0.15,4,1
3.44,0.23,5,1
3.44,0.38,6,1
3.44,0.53,7,1
3.44,0.68,8,1
3.44,0.76,9,1
3.44,0.83,10,1
3.44,0.91,11,1
3.44,0.98,12,1
3.44,1.13,13,1
3.44,2.65,14,1
3.44,3.03,15,1
3.44,2.27,16,1
3.44,1.51,17,1
3.44,1.13,18,1
3.44,0.91,19,1
3.44,0.76,20,1
3.44,0.61,21,1
3.44,0.45,22,1
3.44,0.3,23,1
3.56,0.23,0,1
3.56,0.23,1,1
3.56,0.23,2,1
3.56,0.23,3,1
3.56,0.23,4,1
3.56,0.35,5,1
3.56,0.58,6,1
3.56,0.81,7,1
3.56,1.05,8,1
3.56,1.16,9,1
3.56,1.28,10,1
3.56,1.4,11,1
3.56,1.51,12,1
3.56,1.75,13,1
3.56,4.07,14,1
3.56,4.65,15,1
3.56,3.49,16,1
3.56,2.33,17,1
3.56,1.75,18,1
3.56,1.4,19,1
3.56,1.16,20,1
3.56,0.93,21,1
3.56,0.7,22,1
3.56,0.47,23,1
3.9,0.03,0,1
3.9,0.03,1,1
3.9,0.03,2,1
3.9,0.03,3,1
3.9,0.03,4,1
3.9,0.05,5,1
3.9,0.08,6,1
3.9,0.11,7,1
3.9,0.14,8,1
3.9,0.16,9,1
3.9,0.18,10,1
3.9,0.19,11,1
3.9,0.21,12,1
3.9,0.24,13,1
3.9,0.56,14,1
3.9,0.64,15,1
3.9,0.48,16,1
3.9,0.32,17,1
3.9,0.24,18,1
3.9,0.19,19,1
3.9,0.16,20,1
